date,description,amount
2025-03-01,GEHALT JANUAR,2500.00
2025-03-02,MIETE WOHNUNG,-850.00
2025-03-03,REWE Markt Köln,-42.35
2025-03-04,SPOTIFY ABONNEMENT,-9.99
2025-03-05,ALDI SÜD,-23.48
2025-03-06,NETFLIX.COM,-12.99
2025-03-07,TANKSTELLE ARAL,-67.20
2025-03-08,GEHALT BONUS,500.00
2025-03-10,EDEKA CENTER,-54.12
2025-03-12,AMAZON MARKETPLACE,-89.90
2025-03-15,LOHN NEBENJOB,320.00
2025-03-18,MIETE GARAGE,-75.00
2025-03-20,LIDL FILIALE 123,-31.67
2025-03-22,STROM ABSCHLAG,-110.00
2025-03-25,REWE ONLINE,-65.40
2025-03-28,GEHALT FEBRUAR,2500.00
